Date,Year,Month,Quarter,Day_name,Weekend_Flag
1/1/2015,2015,1,1,Thursday,Weekday
1/2/2015,2015,1,1,Friday,Weekday
1/3/2015,2015,1,1,Saturday,Weekend
1/4/2015,2015,1,1,Sunday,Weekend
1/5/2015,2015,1,1,Monday,Weekday
1/6/2015,2015,1,1,Tuesday,Weekday
1/7/2015,2015,1,1,Wednesday,Weekday
1/8/2015,2015,1,1,Thursday,Weekday
1/9/2015,2015,1,1,Friday,Weekday
1/10/2015,2015,1,1,Saturday,Weekend
1/11/2015,2015,1,1,Sunday,Weekend
1/12/2015,2015,1,1,Monday,Weekday
1/13/2015,2015,1,1,Tuesday,Weekday
1/14/2015,2015,1,1,Wednesday,Weekday
1/15/2015,2015,1,1,Thursday,Weekday
1/16/2015,2015,1,1,Friday,Weekday
1/17/2015,2015,1,1,Saturday,Weekend
1/18/2015,2015,1,1,Sunday,Weekend
1/19/2015,2015,1,1,Monday,Weekday
1/20/2015,2015,1,1,Tuesday,Weekday
1/21/2015,2015,1,1,Wednesday,Weekday
1/22/2015,2015,1,1,Thursday,Weekday
1/23/2015,2015,1,1,Friday,Weekday
1/24/2015,2015,1,1,Saturday,Weekend
1/25/2015,2015,1,1,Sunday,Weekend
1/26/2015,2015,1,1,Monday,Weekday
1/27/2015,2015,1,1,Tuesday,Weekday
1/28/2015,2015,1,1,Wednesday,Weekday
1/29/2015,2015,1,1,Thursday,Weekday
1/30/2015,2015,1,1,Friday,Weekday
1/31/2015,2015,1,1,Saturday,Weekend
2/1/2015,2015,2,1,Sunday,Weekend
2/2/2015,2015,2,1,Monday,Weekday
2/3/2015,2015,2,1,Tuesday,Weekday
2/4/2015,2015,2,1,Wednesday,Weekday
2/5/2015,2015,2,1,Thursday,Weekday
2/6/2015,2015,2,1,Friday,Weekday
2/7/2015,2015,2,1,Saturday,Weekend
2/8/2015,2015,2,1,Sunday,Weekend
2/9/2015,2015,2,1,Monday,Weekday
2/10/2015,2015,2,1,Tuesday,Weekday
2/11/2015,2015,2,1,Wednesday,Weekday
2/12/2015,2015,2,1,Thursday,Weekday
2/13/2015,2015,2,1,Friday,Weekday
2/14/2015,2015,2,1,Saturday,Weekend
2/15/2015,2015,2,1,Sunday,Weekend
2/16/2015,2015,2,1,Monday,Weekday
2/17/2015,2015,2,1,Tuesday,Weekday
2/18/2015,2015,2,1,Wednesday,Weekday
2/19/2015,2015,2,1,Thursday,Weekday
2/20/2015,2015,2,1,Friday,Weekday
2/21/2015,2015,2,1,Saturday,Weekend
2/22/2015,2015,2,1,Sunday,Weekend
2/23/2015,2015,2,1,Monday,Weekday
2/24/2015,2015,2,1,Tuesday,Weekday
2/25/2015,2015,2,1,Wednesday,Weekday
2/26/2015,2015,2,1,Thursday,Weekday
2/27/2015,2015,2,1,Friday,Weekday
2/28/2015,2015,2,1,Saturday,Weekend
3/1/2015,2015,3,1,Sunday,Weekend
3/2/2015,2015,3,1,Monday,Weekday
3/3/2015,2015,3,1,Tuesday,Weekday
3/4/2015,2015,3,1,Wednesday,Weekday
3/5/2015,2015,3,1,Thursday,Weekday
3/6/2015,2015,3,1,Friday,Weekday
3/7/2015,2015,3,1,Saturday,Weekend
3/8/2015,2015,3,1,Sunday,Weekend
